player,gp,g,a,pts,sh,sog,shot_pct,goals_pg,assists_pg
"Britton, Gracie",19.0,20.0,10.0,30.0,41.0,33.0,0.805,1.05,0.53
"Trinkaus, Caroline",19.0,32.0,11.0,43.0,72.0,57.0,0.792,1.68,0.58
"Muchnick, Emma",19.0,34.0,7.0,41.0,71.0,55.0,0.775,1.79,0.37
"Vogelman, Alexa",19.0,21.0,6.0,27.0,46.0,35.0,0.761,1.11,0.32
"Cotter, Mileena",19.0,21.0,2.0,23.0,50.0,38.0,0.76,1.11,0.11
